Intial Conditioner-Prog. Used,,
THETA(TURN),R,Z
0,0.2,0
0.125,0.37,1.23
0.25,0.11,1.97
0.375,0.26,2.01
0.5,0.5,1.43
0.625,0.47,0.57
0.75,0.32,-0.77
0.875,0.12,-0.68
1,0.74,0.58
1.125,0.77,2.43
1.25,0.78,4.3
1.375,0.32,5.96
1.5,-0.29,6.96
1.625,-0.65,7.51
1.75,0.04,8.08
1.875,0.68,8.95
2,1.4,9.32
2.125,1.51,9.99
2.25,1.53,10.64
2.375,0.54,11.77
2.5,-0.38,13.27
2.625,-1,14.87
2.75,-1.06,15.71
2.875,-0.25,16.37
3,0.97,16.77
3.125,1.75,17.33
3.25,1.95,17.52
3.375,1.58,18.41
3.5,0.63,19.29
3.625,-0.82,19.68
3.75,-1.15,20.02
3.875,-1.1,21.17
4,-0.8,23.07
4.125,-0.15,24.73
4.25,-0.29,25.38
4.375,-0.34,24.08
4.5,0.18,22.46
4.625,0.86,20.83
4.75,0.67,19.55
4.875,0.51,19.99
4.965,0.54,20.39
